ID,Gender,Marital status,Age,Education,Income,Occupation,Settlement size
100000001,male,single,67,university,124670,skilled employee / official,big city
100000002,female,married,22,high school,150773,skilled employee / official,big city
100000003,male,single,49,high school,89210,unemployed/ unskilled,small city
100000004,male,single,45,high school,171565,skilled employee / official,mid-sized city
100000005,male,single,53,high school,149031,skilled employee / official,mid-sized city
100000006,male,single,35,high school,144848,unemployed/ unskilled,small city
100000007,male,single,53,high school,156495,skilled employee / official,mid-sized city
100000008,male,single,35,high school,193621,management/ self employed/ highly qualified employee/ officer,mid-sized city
100000009,male,married,61,university,151591,unemployed/ unskilled,small city
100000010,male,married,28,high school,174646,management/ self employed/ highly qualified employee/ officer,small city
100000011,female,married,25,high school,108469,skilled employee / official,small city
100000012,female,married,24,high school,127596,skilled employee / official,small city
100000013,female,married,22,high school,108687,skilled employee / official,big city
100000014,male,single,60,university,89374,unemployed/ unskilled,small city
100000015,female,married,28,high school,102899,skilled employee / official,mid-sized city
100000016,female,married,32,high school,88428,unemployed/ unskilled,small city
100000017,male,single,53,high school,125550,skilled employee / official,small city
100000018,male,single,25,other / unknown,157434,skilled employee / official,big city
100000019,female,married,44,university,261952,management/ self employed/ highly qualified employee/ officer,big city
100000020,male,single,31,other / unknown,144657,skilled employee / official,mid-sized city
100000021,male,single,48,high school,118777,skilled employee / official,mid-sized city
100000022,male,single,44,high school,147511,skilled employee / official,mid-sized city
100000023,male,single,48,high school,89804,unemployed/ unskilled,small city
100000024,male,single,44,high school,134918,skilled employee / official,big city
100000025,male,married,26,high school,103667,skilled employee / official,big city
100000026,male,single,36,high school,71909,unemployed/ unskilled,small city
100000027,male,married,39,high school,68264,unemployed/ unskilled,small city
100000028,female,married,42,university,163025,skilled employee / official,mid-sized city
100000029,male,single,34,high school,119307,skilled employee / official,mid-sized city
100000030,male,single,63,university,175882,skilled employee / official,small city
100000031,male,married,36,high school,159646,skilled employee / official,mid-sized city
100000032,male,single,27,other / unknown,120131,skilled employee / official,mid-sized city
